Key,Id,English(en),Turkish(tr)
"tutorial_step_9",15713831556444160,"Once you find necessary ingredients, you can drag and drop them onto the plate.","Önce gerekli malzemeleri bul, sonra sürükleyip tabağa bırak."
"tutorial_step_10",15714320717148160,"Here's just one of those delicious dishes. I'm sure you're craving it.","İşte lezzetli yemeklerimden sadece biri. Eminim canın çekmiştir."
"tutorial_step_11",15714931776909312,"When the mouse cursor hovers over a food ingredients, its name will appear.","fareyi malzemelerin üstüne getirirsen malzemenin adı ekranda belirir."
"tutorial_step_12",15715422237847552,"Don't worry if you accidentally drag the wrong ingredient onto the plate. You can undo it by clicking on it.","Eğer tabağın üzerine yanlış malzeme koyduysan korkma. Üzerine tıklayarak tabaktan geri çıkartabilirsin."
"tutorial_step_13",15715986522730496,"But there has to be a price. Every wrong ingredient reduces the game's time.","Ama bedelini ödemek zorundasın. Her yanlış malzeme için süren azalır."
"tutorial_step_14",15716396855685120,"If you're really scared, you can press the ""ESC"" key to catch your breath for a bit.","Eğer korktuysan ""ESC"" tuşuna basarak oyunu durdurabilirsin."
"tutorial_step_15",15716968593846272,"Have fun. My advice is: don't anger the creatures.","İyi eğlenceler. Sana tavsiyem yaratıkları kızdırma."
"btn_save_usarname_button",15718808219774976,"SAVE USERNAME","KAYDET"
"place_holder",15719196033511424,"Enter your username...","Kullanıcı adını gir..."
"username_label",15719532957757440,"SET USERNAME:","KULLANICI ADINI GİR:"
"btn_go_to_table",15723671464931328,"GO TO TABLE","MASAYA GİT"
"btn_quit_game",15723866105802752,"QUIT GAME","OYUNDAN ÇIK"
"btn_receiving_order",15724086692638720,"RECEIVING ORDER...","SİPARİŞ ALINIYOR..."
"order_speech_text",15736527241572352,"Hi! I am {0}. I want {1}. Press the button when ready.","Selam! Ben {0}. {1} istiyorum. Hazır olunca butona bas."
"char_golge",15741016992346112,"Mr. Shadow","Bay Gölge"
"char_hayalet",15741017252392960,"Mr. Ghost","Bay Hayalet"
"char_palyaco",15741023799701504,"Mr. Clown","Bay Palyaço"
"char_vampir",15741034730057728,"Mr. Vampire","Bay Vampir"
"char_zombie",15741046012735488,"Mr. Zombie","Bay Zombi"
"food_beyin_salatasi",15743801771126784,"Brain Salad","Beyin Salatası"
"food_canavar_kalbi_izgara",15743875683151872,"Grilled Monster Heart","Canavar Kalbi Izgara"
"food_dokunac_guveci",15743953470713856,"Tentacle Stew","Dokunaç Güveci"
"food_goz_kuresi_corbasi",15743953630097408,"Eyeball Soup","Göz Küresi Çorbası"
"food_igrenc_pizza",15743963360882688,"Disgusting Pizza","İğrenç Pizza"
"food_kan_golu_sosu",15744182303551488,"Blood Lake Sauce","Kan Gölü Sosu"
"food_kanli_siringalar",15744203719667712,"Bloody Syringes","Kanlı Şırıngalar"
"food_kertenkele_kuyruklari",15744208379539456,"Lizard Tails","Kertenkele Kuyrukları"
"food_kesik_damar_spagetti",15744215128174592,"Severed Vein Spaghetti","Kesik Damar Spagetti"
"food_kurtcuk_kanepesi",15744499632009216,"Maggot Canapé","Kurtçuk Kanepesi"
"food_kusmuk_sekerlemesi",15744503457214464,"Vomit Candy","Kusmuk Şekerlemesi"
"food_parmak_sucuklari_(tatli)",15744503759204352,"Finger Sausages","Parmak Sucukları"
"food_yaratik_kaburgalari",15744503893422080,"Creature Ribs","Yaratık Kaburgaları"
"food_zehirli_mantar_sepeti",15744751755816960,"Poisonous Mushroom Basket","Zehirli Mantar Sepeti"
"food_zombi_beyin_keki",15744754712801280,"Zombie Brain Cake","Zombi Beyin Keki"
"food_curumus_dis_pastasi",15744756822536192,"Rotten Tooth Cake","Çürümüş Diş Pastası"
"food_orumcek_yumurtalari",15744759246843904,"Spider Eggs","Örümcek Yumurtaları"
"btn_back_button",15759043909611520,"BACK","GERİ"
"loading_leaderboard",15759553798565888,"LOADING LEADERBOARD...","LİDERLİK TABLOSU YÜKLENİYOR..."
"leader_board",15759892090155008,"LEADERBOARD","LİDERLİK TABLOSU"
"btn_score",15761471778287616,"SCORE:","SKOR:"
"remaining_time",15761741711110144,"REMAINING TIME:","KALAN SÜRE:"
"go_to_order_scene",15764449025290240,"NEW ORDER","YENİ SİPARİŞ"
"instruction_text_1",15766066747371520,"THE ORDER IS {0}","SİPARİŞİNİZ {0}"
"instruction_text_2",15766389637476352,"YOU CAN USE THE RECIPE BOOK BUTTON ON THE RIGHT","SAĞ ÜSTTEKİ TARİF DEFTERİNİ KULLANABİLİRSİN."
"karakter_metin_0",15771013102661632,"This dish is a symphony of flavors! My taste buds are dancing.","Bu yemek tam bir lezzet senfonisi! Tat alma duyularım dans ediyor."
"karakter_metin_1",15771017296965632,"I think I just found a piece of heaven on this plate.","Sanırım bu tabakta cennetten bir parça buldum."
"karakter_metin_2",15771019272482816,"My compliments to the chef! This is Michelin-star quality.","Şefe saygılarımı sunarım! Bu tam Michelin yıldızı kalitesinde."
"karakter_metin_3",15771020920844288,"The balance of spices is pure magic. How did you do that?","Baharatların dengesi tam bir büyü. Bunu nasıl başardın?"
"karakter_metin_4",15771022699229184,"Not only was my stomach full, but my soul was nourished too.","Sadece karnım doymadı, ruhum da beslendi."
"karakter_metin_5",15771024314036224,"This is beyond delicious; it's a culinary masterpiece!","Bu lezzetli olmanın ötesinde; tam bir mutfak şaheseri!"
"karakter_metin_6",15771025954009088,"Every bite tells a story of passion and skill.","Her ısırık, tutku ve yeteneğin hikayesini anlatıyor."
"karakter_metin_7",15771027765948416,"I’ve traveled the world, but I’ve never tasted anything quite like this.","Dünyayı gezdim ama hiç bu kadar özel bir şey tatmamıştım."
"karakter_metin_8",15771591044198400,"The texture, the aroma... it's an absolute sensory overload!","Doku, aroma... tam bir duyusal patlama!"
"karakter_metin_9",15771593996988416,"I’ve traveled the world, but I’ve never tasted anything quite like this.","Bu yemek bin kilometre yol gitmeye değer."
"ingredient_asit",15912236752035840,"Acid","Asit"
"ingredient_bagirsak",15912236773007360,"Intestine","Bağırsak"
"ingredient_baharat",15912236773007361,"Spice","Baharat"
"ingredient_balcik",15912236773007362,"Slime","Balçık"
"ingredient_bardak",15912236773007363,"Glass","Bardak"
"ingredient_beyin",15912236773007364,"Brain","Beyin"
"ingredient_bilinmeyen_yag",15912236773007365,"Unknown Oil","Bilinmeyen Yağ"
"ingredient_bocek_yumurtasi",15912236773007366,"Insect Egg","Böcek Yumurtası"
"ingredient_curuk_ekmek",15912236773007367,"Rotten Bread","Çürük Ekmek"
"ingredient_curumus_disler",15912236773007368,"Rotten Teeth","Çürümüş Dişler"
"ingredient_dis_cipsleri",15912236773007369,"Teeth Crisps","Diş Cipsleri"
"ingredient_dokunac",15912236773007370,"Tentacle","Dokunaç"
"ingredient_et_(pismis)",15912236773007371,"Meat (Cooked)","Et (Pişmiş)"
"ingredient_et",15912236773007372,"Meat","Et"
"ingredient_goz",15912236773007373,"Eye","Göz"
"ingredient_irin_tozu",15912236773007374,"Pus Powder","İrin Tozu"
"ingredient_kafatasi",15912236773007375,"Skull","Kafatası"
"ingredient_kalp",15912236773007376,"Heart","Kalp"
"ingredient_kanayan_patates",15912236773007377,"Bleeding Potato","Kanayan Patates"
"ingredient_kara_spagetti",15912236773007378,"Black Spaghetti","Kara Spagetti"
"ingredient_kara_yosun",15912236773007379,"Black Moss","Kara Yosun"
"ingredient_kemik_cubugu",15912236773007380,"Bone Stick","Kemik Çubuğu"
"ingredient_kertenkele_kuyrugu",15912236773007381,"Lizard Tail","Kertenkele Kuyruğu"
"ingredient_kirmizi_seker",15912236773007382,"Red Sugar","Kırmızı Şeker"
"ingredient_koyu_zehir",15912236773007383,"Dark Poison","Koyu Zehir"
"ingredient_kurabiye",15912236773007384,"Cookie","Kurabiye"
"ingredient_kurtcuklar",15912236773007385,"Maggots","Kurtçuklar"
"ingredient_mantar",15912236773007386,"Mushroom","Mantar"
"ingredient_metal_kap",15912236773007387,"Metal Bowl","Metal Kap"
"ingredient_orumcek",15912236773007388,"Spider","Örümcek"
"ingredient_parlak_kan_sise",15912236773007389,"Bright Blood Bottle","Parlak Kan Şişe"
"ingredient_parmak",15912236773007390,"Finger","Parmak"
"ingredient_pihtilanmis_kan_sise",15912236773007391,"Bottle of Clotted Blood","Pıhtılaşmış Kan Şişe"
"ingredient_sivri_kemik",15912236773007392,"Sharp Bone","Sivri Kemik"
"ingredient_siyah_zeytin",15912236773007393,"Black Olive","Siyah Zeytin"
"ingredient_seker_kasesi",15912236773007394,"Sugar Bowl","Şeker Kasesi"
"ingredient_siringa",15912236773007395,"Syringe","Şırınga"
"ingredient_tabak",15912236773007396,"Plate","Tabak"
